CUSTOM_ACTIVITY,TOTAL_RECORDS
,1030000
Fathom Call,11629
1) Prospecting Activity,10046
5) Strategy Call,4128
3) Triage Call,3463
2) Prospecting Follow Up,1386
6) Strategy Call Follow Up,809
10) Call Confirmation Activity,421
7) New Sale,270
Slack User Removal,258
12) Onboarding Complete,243
Payment Transaction,229
0) Pipeline Update,155
Setter Hand Off Notes,151
11) Post-Sale Activity,133
14) Backend Sale,77
Referral Ask,47
13) New Deposit,47
9) Additional Cash Collected,45
4) Triage Call Follow Up,26
15) Refund Request Initiated,23
Refund Decision,19
Backend Sale Pitch,14
New Referral Generated,9
